date,PM2.5,PM10,station_name,latitude,longitude
2019-09-04,10.1,,US Embassy,51.128736,71.46939
2019-09-05,7.4,,US Embassy,51.128736,71.46939
2019-09-06,19.2,,US Embassy,51.128736,71.46939
2019-09-07,18.8,,US Embassy,51.128736,71.46939
2019-09-08,15.0,,US Embassy,51.128736,71.46939
2019-09-09,23.5,,US Embassy,51.128736,71.46939
2019-09-10,12.1,,US Embassy,51.128736,71.46939
2019-09-11,10.6,,US Embassy,51.128736,71.46939
2019-09-12,15.4,,US Embassy,51.128736,71.46939
2019-09-13,8.2,,US Embassy,51.128736,71.46939
2019-09-14,18.8,,US Embassy,51.128736,71.46939
2019-09-15,19.7,,US Embassy,51.128736,71.46939
2019-09-16,26.8,,US Embassy,51.128736,71.46939
2019-09-17,10.3,,US Embassy,51.128736,71.46939
2019-09-18,13.1,,US Embassy,51.128736,71.46939
2019-09-19,8.9,,US Embassy,51.128736,71.46939
2019-09-20,9.1,,US Embassy,51.128736,71.46939
2019-09-21,11.5,,US Embassy,51.128736,71.46939
2019-09-22,12.0,,US Embassy,51.128736,71.46939
2019-09-23,4.1,,US Embassy,51.128736,71.46939
2019-09-24,5.8,,US Embassy,51.128736,71.46939
2019-09-25,7.4,,US Embassy,51.128736,71.46939
2019-09-26,22.1,,US Embassy,51.128736,71.46939
2019-09-27,15.4,,US Embassy,51.128736,71.46939
2019-09-28,7.2,,US Embassy,51.128736,71.46939
2019-09-29,6.2,,US Embassy,51.128736,71.46939
2019-09-30,11.8,,US Embassy,51.128736,71.46939
2019-10-01,11.5,,US Embassy,51.128736,71.46939
2019-10-02,19.7,,US Embassy,51.128736,71.46939
2019-10-03,34.9,,US Embassy,51.128736,71.46939
2019-10-04,43.2,,US Embassy,51.128736,71.46939
2019-10-05,86.5,,US Embassy,51.128736,71.46939
2019-10-07,43.2,,US Embassy,51.128736,71.46939
2019-10-08,20.2,,US Embassy,51.128736,71.46939
2019-10-09,11.5,,US Embassy,51.128736,71.46939
2019-10-10,15.0,,US Embassy,51.128736,71.46939
2019-10-11,20.7,,US Embassy,51.128736,71.46939
2019-10-12,33.0,,US Embassy,51.128736,71.46939
2019-10-13,12.1,,US Embassy,51.128736,71.46939
2019-10-14,8.2,,US Embassy,51.128736,71.46939
2019-10-15,4.1,,US Embassy,51.128736,71.46939
2019-10-16,6.0,,US Embassy,51.128736,71.46939
2019-10-17,4.3,,US Embassy,51.128736,71.46939
2019-10-18,3.6,,US Embassy,51.128736,71.46939
2019-10-19,6.2,,US Embassy,51.128736,71.46939
2019-10-20,11.5,,US Embassy,51.128736,71.46939
2019-10-21,14.0,,US Embassy,51.128736,71.46939
2019-10-22,9.4,,US Embassy,51.128736,71.46939
2019-10-23,4.6,,US Embassy,51.128736,71.46939
2019-10-24,5.3,,US Embassy,51.128736,71.46939
2019-10-25,11.3,,US Embassy,51.128736,71.46939
2019-10-26,9.4,,US Embassy,51.128736,71.46939
2019-10-27,10.8,,US Embassy,51.128736,71.46939
2019-10-28,7.9,,US Embassy,51.128736,71.46939
2019-10-29,9.8,,US Embassy,51.128736,71.46939
2019-10-30,13.1,,US Embassy,51.128736,71.46939
2019-10-31,11.8,,US Embassy,51.128736,71.46939
2019-11-01,5.5,,US Embassy,51.128736,71.46939
2019-11-02,8.6,,US Embassy,51.128736,71.46939
2019-11-03,27.3,,US Embassy,51.128736,71.46939
2019-11-04,25.9,,US Embassy,51.128736,71.46939
2019-11-05,11.5,,US Embassy,51.128736,71.46939
2019-11-06,6.0,,US Embassy,51.128736,71.46939
2019-11-07,2.9,,US Embassy,51.128736,71.46939
2019-11-08,3.6,,US Embassy,51.128736,71.46939
2019-11-09,29.2,,US Embassy,51.128736,71.46939
2019-11-10,28.3,,US Embassy,51.128736,71.46939
2019-11-11,26.4,,US Embassy,51.128736,71.46939
2019-11-12,6.0,,US Embassy,51.128736,71.46939
2019-11-13,2.9,,US Embassy,51.128736,71.46939
2019-11-14,24.5,,US Embassy,51.128736,71.46939
2019-11-15,37.9,,US Embassy,51.128736,71.46939
2019-11-16,10.8,,US Embassy,51.128736,71.46939
2019-11-17,3.4,,US Embassy,51.128736,71.46939
2019-11-18,8.9,,US Embassy,51.128736,71.46939
2019-11-19,26.8,,US Embassy,51.128736,71.46939
2019-11-20,40.4,,US Embassy,51.128736,71.46939
2019-11-21,34.9,,US Embassy,51.128736,71.46939
2019-11-22,9.6,,US Embassy,51.128736,71.46939
2019-11-23,8.4,,US Embassy,51.128736,71.46939
2019-11-24,7.9,,US Embassy,51.128736,71.46939
2019-11-25,9.6,,US Embassy,51.128736,71.46939
2019-11-26,12.1,,US Embassy,51.128736,71.46939
2019-11-27,5.8,,US Embassy,51.128736,71.46939
2019-11-28,7.9,,US Embassy,51.128736,71.46939
2019-11-29,7.7,,US Embassy,51.128736,71.46939
2019-11-30,38.3,,US Embassy,51.128736,71.46939
2019-12-01,48.1,,US Embassy,51.128736,71.46939
2019-12-02,9.8,,US Embassy,51.128736,71.46939
2019-12-03,15.9,,US Embassy,51.128736,71.46939
2019-12-04,33.0,,US Embassy,51.128736,71.46939
2019-12-05,10.8,,US Embassy,51.128736,71.46939
2019-12-06,5.0,,US Embassy,51.128736,71.46939
2019-12-07,4.8,,US Embassy,51.128736,71.46939
